Year,12 Months Ending,Environmental Disclosure Score,GHG Scope 1,Total Energy Consumption,Ticker
,12 Months Ending,Environmental Disclosure Score,GHG Scope 1,Total Energy Consumption,DVN
2005,12/31/2005,,,,DVN
2006,12/31/2006,,,,DVN
2007,12/31/2007,9.92,3680,,DVN
2008,12/31/2008,9.92,3680,,DVN
2009,12/31/2009,4.13,,,DVN
2010,12/31/2010,4.13,,,DVN
2011,12/31/2011,19.01,7232.9,,DVN
2012,12/31/2012,19.01,7596.7,,DVN
2013,12/31/2013,19.01,7644.6,,DVN
2014,12/31/2014,23.97,5925.4,10223.4,DVN
2015,12/31/2015,26.45,6065.8,11278.2,DVN
2016,12/31/2016,28.93,5381.1,18165.9,DVN
2017,12/31/2017,36.36,5368.9,26062.3,DVN
2018,12/31/2018,36.36,5647.5,21533.4,DVN
2019,12/31/2019,36.36,2610,8295.6,DVN
current,2/10/2021,36.36,,,DVN
2005,12/31/2005,,,,ED
2006,12/31/2006,17.93,,,ED
2007,12/31/2007,6.21,,,ED
2008,12/31/2008,6.21,,,ED
2009,12/31/2009,27.59,3735.6,,ED
2010,12/31/2010,44.14,3265.2,21148.9,ED
2011,12/31/2011,51.03,3370.5,18962.8,ED
2012,12/31/2012,57.93,3314.4,14650.6,ED
2013,12/31/2013,62.76,3361.5,15276.8,ED
2014,12/31/2014,62.76,3157.2,14390.2,ED
2015,12/31/2015,59.31,3137.1,14467.5,ED
2016,12/31/2016,44.14,3093,,ED
2017,12/31/2017,37.24,3015,,ED
2018,12/31/2018,37.24,3068,,ED
2019,12/31/2019,40,2907,,ED
current,2/10/2021,40,,,ED
2005,12/31/2005,,,,EIX
2006,12/31/2006,,,,EIX
2007,12/31/2007,7.59,,,EIX
2008,12/31/2008,7.59,,,EIX
2009,12/31/2009,7.59,,,EIX
2010,12/31/2010,7.59,,,EIX
2011,12/31/2011,25.52,5715.3,,EIX
2012,12/31/2012,25.52,7200,,EIX
2013,12/31/2013,25.52,6200,,EIX
2014,12/31/2014,27.59,2400,,EIX
2015,12/31/2015,27.59,2400,,EIX
2016,12/31/2016,27.59,2400,,EIX
2017,12/31/2017,33.1,1900,,EIX
2018,12/31/2018,36.55,1100,,EIX
2019,12/31/2019,44.14,1400,,EIX
current,2/10/2021,44.14,,,EIX
2005,12/31/2005,,,,EOG
2006,12/31/2006,,,,EOG
2007,12/31/2007,1.65,,,EOG
2008,12/31/2008,6.61,,,EOG
2009,12/31/2009,6.61,,,EOG
2010,12/31/2010,6.61,,,EOG
2011,12/31/2011,7.44,,,EOG
2012,12/31/2012,9.09,,,EOG
2013,12/31/2013,9.09,,,EOG
2014,12/31/2014,15.7,,,EOG
2015,12/31/2015,15.7,,,EOG
2016,12/31/2016,17.36,,,EOG
2017,12/31/2017,30.58,3300,,EOG
2018,12/31/2018,30.58,5405.6,,EOG
2019,12/31/2019,34.71,5300,,EOG
current,2/10/2021,34.71,,,EOG
2005,12/31/2005,,,,ES
2006,12/31/2006,,,,ES
2007,12/31/2007,,,,ES
2008,12/31/2008,15.17,,,ES
2009,12/31/2009,15.17,,,ES
2010,12/31/2010,25.52,,,ES
2011,12/31/2011,27.59,,,ES
2012,12/31/2012,31.03,1711,,ES
2013,12/31/2013,42.07,1962,6487.7,ES
2014,12/31/2014,45.52,1799.2,6936.5,ES
2015,12/31/2015,53.1,1623.3,6750.2,ES
2016,12/31/2016,53.1,852.6,4169.4,ES
2017,12/31/2017,54.48,713.4,3170,ES
2018,12/31/2018,53.1,169.4,603.8,ES
2019,12/31/2019,59.31,128.8,374.7,ES
current,2/10/2021,59.31,,,ES
2005,12/31/2005,12.41,,,ETR
2006,12/31/2006,16.55,,,ETR
2007,12/31/2007,24.14,32600,,ETR
2008,12/31/2008,25.52,33187,,ETR
2009,12/31/2009,38.62,30409.2,42640.8,ETR
2010,12/31/2010,37.24,34000,7138.3,ETR
2011,12/31/2011,33.79,34800,,ETR
2012,12/31/2012,33.79,34800,,ETR
2013,12/31/2013,35.17,34200,,ETR
2014,12/31/2014,37.24,34185.3,,ETR
2015,12/31/2015,35.86,31843.3,,ETR
2016,12/31/2016,33.79,35200,,ETR
2017,12/31/2017,36.55,33100,,ETR
2018,12/31/2018,38.62,36500,,ETR
2019,12/31/2019,40,34400,,ETR
current,2/10/2021,40,,,ETR
2005,12/31/2005,,,,EVRG
2006,12/31/2006,,,,EVRG
2007,12/31/2007,,,,EVRG
2008,12/31/2008,,,,EVRG
2009,12/31/2009,,,,EVRG
2010,12/31/2010,,,,EVRG
2011,12/31/2011,,,,EVRG
2012,12/31/2012,,,,EVRG
2013,12/31/2013,,,,EVRG
2014,12/31/2014,,,,EVRG
2015,12/31/2015,,,,EVRG
2016,12/31/2016,,,,EVRG
2017,12/31/2017,,,,EVRG
2018,12/31/2018,26.21,29742.9,,EVRG
2019,12/31/2019,27.59,26499.4,,EVRG
current,2/10/2021,27.59,,,EVRG
2005,12/31/2005,14.48,,,EXC
2006,12/31/2006,22.76,,,EXC
2007,12/31/2007,26.21,,,EXC
2008,12/31/2008,28.28,,,EXC
2009,12/31/2009,42.07,8893,,EXC
2010,12/31/2010,43.45,9268,,EXC
2011,12/31/2011,43.45,6600,,EXC
2012,12/31/2012,46.9,22497,,EXC
2013,12/31/2013,48.28,18697,,EXC
2014,12/31/2014,60.69,16786,88591.3,EXC
2015,12/31/2015,55.86,7677,64944.5,EXC
2016,12/31/2016,58.62,9723,82392.5,EXC
2017,12/31/2017,64.14,10200,72702.2,EXC
2018,12/31/2018,59.31,9526,75006.7,EXC
2019,12/31/2019,49.66,9395,66356.9,EXC
current,2/10/2021,,,,EXC
2005,12/31/2005,,,,FANG
2006,12/31/2006,,,,FANG
2007,12/31/2007,,,,FANG
2008,12/31/2008,,,,FANG
2009,12/31/2009,,,,FANG
2010,12/31/2010,,,,FANG
2011,12/31/2011,,,,FANG
2012,12/31/2012,,,,FANG
2013,12/31/2013,,,,FANG
2014,12/31/2014,,,,FANG
2015,12/31/2015,3.88,,,FANG
2016,12/31/2016,13.95,,,FANG
2017,12/31/2017,24.03,,,FANG
2018,12/31/2018,24.03,,,FANG
2019,12/31/2019,26.36,,,FANG
current,2/10/2021,26.36,,,FANG
2005,12/31/2005,,,,FE
2006,12/31/2006,,,,FE
2007,12/31/2007,11.72,,,FE
2008,12/31/2008,9.66,,,FE
2009,12/31/2009,13.1,,,FE
2010,12/31/2010,13.1,,,FE
2011,12/31/2011,13.1,,,FE
2012,12/31/2012,13.1,,,FE
2013,12/31/2013,13.1,,,FE
2014,12/31/2014,13.1,,,FE
2015,12/31/2015,17.24,,,FE
2016,12/31/2016,31.72,46333.4,,FE
2017,12/31/2017,37.93,42354.9,,FE
2018,12/31/2018,47.59,32874.7,203527,FE
2019,12/31/2019,,17935.5,,FE
current,2/10/2021,,,,FE
2005,12/31/2005,,,,FTI
2006,12/31/2006,,,,FTI
2007,12/31/2007,,,,FTI
2008,12/31/2008,,,,FTI
2009,12/31/2009,,,,FTI
2010,12/31/2010,,,,FTI
2011,12/31/2011,,,,FTI
2012,12/31/2012,,,,FTI
2013,12/31/2013,,,,FTI
2014,12/31/2014,,,,FTI
2015,12/31/2015,,,,FTI
2016,12/31/2016,,,,FTI
2017,12/31/2017,13.95,483.2,,FTI
2018,12/31/2018,13.95,574.1,,FTI
2019,12/31/2019,16.28,416.1,,FTI
current,2/10/2021,16.28,,,FTI
