Year,Ticker,Environmental Disclosure Score,GHG Scope 1,Total Energy Consumption,Change_in_EDS,Change_in_GHG,Change_in_TEC,Ratio of GHG Emissions to Total Assets,Ratio of GHG Emissions to Total Sales,Ratio of Total Energy Consumption to Total Assets,Ratio of Total Energy Consumption to Total Sales,cusip,Company,Total_Assets,Net_Income,Total_Sales,cik,Change_in_Sales,Change_in_Assets,Change_in_NI,ROA,Profit_Margin,Annual Return,Logarithm_Total_Assets,Logarithm_Total_Sales,Profitable
2013,APA,28.1,8400.0,10738.0,-10.509554140127374,-21.97659297789337,-1.055968155096476,136.28177880169378,512.1326667479576,174.21354056816523,654.6762589928057,037411105,APACHE CORP,61637.0,2232.0,16402.0,6769.0,-3.2159084203693844,1.4817985741804929,11.54422788605698,3.621201551016435,13.608096573588588,0.1201567522500899,11.02901761855464,9.705158557596356,True
2014,APA,33.9,7100.0,5400.0,20.64056939501777,-15.476190476190476,-49.71130564350903,126.89448098370032,516.4011928140228,96.51129539605375,392.75583678813007,037411105,APACHE CORP,55952.0,-5403.0,13749.0,6769.0,-16.174856724789656,-9.2233561010432,-342.0698924731183,-9.656491278238487,-39.29740344752346,0.3528345331088098,10.932249459303158,9.528721373177234,False
2015,APA,36.4,6590.0,4970.0,7.374631268436582,-7.183098591549298,-7.96296296296296,349.750557265683,1032.4298919003604,263.7724233096274,778.6307378975404,037411105,APACHE CORP,18842.0,-23119.0,6383.0,6769.0,-53.574805440395664,-66.32470689162139,327.89191190079583,-122.69928882284258,-362.1964593451355,0.0259433619574851,9.843843699608612,8.761393485256058,False
2016,APA,38.8,6860.0,3424.0,6.593406593406592,4.097116843702575,-31.1066398390342,304.63164438918244,1278.1814794112167,152.04938052311385,637.9727967207006,037411105,APACHE CORP,22519.0,-1405.0,5367.0,6769.0,-15.917280275732416,19.51491349113683,-93.92274752368182,-6.239175807096229,-26.17849822992361,0.1053906684251082,10.02211467629434,8.588024372176829,False
2017,APA,38.8,6150.0,2759.0,0.0,-10.349854227405253,-19.42172897196261,280.54009670650487,1069.193324061196,125.85530517288568,479.6592489568845,037411105,APACHE CORP,21922.0,1304.0,5752.0,6769.0,7.173467486491525,-2.651094631200324,-192.81138790035587,5.948362375695648,22.67037552155772,0.1258548162774573,9.995245977775667,8.657302899400882,True
2018,APA,41.3,3410.0,3353.0,6.443298969072164,-44.552845528455286,21.529539688292854,158.0020387359837,465.1480016368845,155.3609489389306,457.3728004365025,037411105,APACHE CORP,21582.0,40.0,7331.0,6769.0,27.45132127955494,-1.5509533801660425,-96.93251533742333,0.1853396348809192,0.5456281544127677,0.1751698442343476,9.97961491292368,8.899867211223587,True
2019,APA,41.3,6550.0,4710.0,0.0,92.08211143695016,40.47121980316136,361.7385541503286,1042.9936305732483,260.12039542718287,750.0,037411105,APACHE CORP,18107.0,-3553.0,6280.0,6769.0,-14.336379757195472,-16.10138078027986,-8982.5,-19.62224554039874,-56.57643312101911,0.407672768922019,9.804053882820645,8.745125259462244,False
2005,ATO,,,,0.0,0.0,0.0,,,,,049560105,ATMOS ENERGY CORP,5653.527,135.785,4973.326,731802.0,0.0,0.0,0.0,2.401775033532165,2.7302654199624152,,8.640034877166496,8.511844110557725,True
2006,ATO,,,,0.0,0.0,0.0,,,,,049560105,ATMOS ENERGY CORP,5719.547,147.737,6152.363,731802.0,23.70721324119916,1.167766599505038,8.802150458445347,2.583019249601411,2.401304994519992,,8.651644885433495,8.724591514646303,True
2007,ATO,,,,0.0,0.0,0.0,,,,,049560105,ATMOS ENERGY CORP,5896.917,168.492,5898.431,731802.0,-4.1273897525227365,3.1011197215443875,14.048613414378242,2.857289665091097,2.856556260469945,,8.682184950948084,8.682441662324182,True
