,gvkey,datadate,fyear,tic,cusip,conm,at,ni,sale,cik,Change_in_Sales,Change_in_Assets,Change_in_NI,ROA,Profit_Margin
455,8549,20101231,2010,COP,20825C104,CONOCOPHILLIPS,156314,11358,175752,1163165,29.21421009,2.44186961,133.7999177,7.266143788,6.462515363
456,8549,20111231,2011,COP,20825C104,CONOCOPHILLIPS,153230,12436,230859,1163165,31.35497747,-1.972951879,9.491107589,8.115904196,5.386837853
457,8549,20121231,2012,COP,20825C104,CONOCOPHILLIPS,117144,8428,57967,1163165,-74.89073417,-23.55021863,-32.22901254,7.194563955,14.53930685
458,8549,20131231,2013,COP,20825C104,CONOCOPHILLIPS,118057,9156,54413,1163165,-6.131074577,0.77938264,8.637873754,7.755575696,16.82686123
459,8549,20141231,2014,COP,20825C104,CONOCOPHILLIPS,116539,6869,52524,1163165,-3.471596861,-1.285819562,-24.9781564,5.894164185,13.07783109
460,8549,20151231,2015,COP,20825C104,CONOCOPHILLIPS,97484,-4428,29564,1163165,-43.71335009,-16.35074953,-164.4635318,-4.542283862,-14.97767555
461,8549,20161231,2016,COP,20825C104,CONOCOPHILLIPS,89772,-3615,23693,1163165,-19.85861183,-7.911041812,-18.3604336,-4.026868066,-15.25767104
462,8549,20171231,2017,COP,20825C104,CONOCOPHILLIPS,73362,-855,29106,1163165,22.84641033,-18.27964176,-76.34854772,-1.165453505,-2.937538652
463,8549,20181231,2018,COP,20825C104,CONOCOPHILLIPS,69980,6257,36417,1163165,25.11853226,-4.610016085,-831.8128655,8.941126036,17.1815361
464,8549,20191231,2019,COP,20825C104,CONOCOPHILLIPS,70514,7189,32567,1163165,-10.57198561,0.763075164,14.89531724,10.19513855,22.07449258
60,2991,20051231,2005,CVX,166764100,CHEVRON CORP,125833,14099,184922,93410,0,0,0,11.20453299,7.624295649
61,2991,20061231,2006,CVX,166764100,CHEVRON CORP,132628,17138,195341,93410,5.634267421,5.400014305,21.55472019,12.92185662,8.773375789
62,2991,20071231,2007,CVX,166764100,CHEVRON CORP,148786,18688,203970,93410,4.417403412,12.18294779,9.044229198,12.56032154,9.162131686
63,2991,20081231,2008,CVX,166764100,CHEVRON CORP,161165,23931,255112,93410,25.07329509,8.320003226,28.05543664,14.84875748,9.380585782
64,2991,20091231,2009,CVX,166764100,CHEVRON CORP,164621,10483,159293,93410,-37.55958167,2.144386188,-56.19489365,6.367960345,6.580954593
65,2991,20101231,2010,CVX,166764100,CHEVRON CORP,184769,19024,189607,93410,19.03034032,12.23902175,81.47476867,10.29609945,10.03338484
66,2991,20111231,2011,CVX,166764100,CHEVRON CORP,209474,26895,236286,93410,24.61881682,13.37074942,41.37405383,12.83930225,11.38239252
67,2991,20121231,2012,CVX,166764100,CHEVRON CORP,232982,26179,222580,93410,-5.800597581,11.22239514,-2.662204871,11.23649037,11.7616138
68,2991,20131231,2013,CVX,166764100,CHEVRON CORP,253753,21423,211664,93410,-4.90430407,8.915281009,-18.16723328,8.442461764,10.12122987
69,2991,20141231,2014,CVX,166764100,CHEVRON CORP,266026,19241,192308,93410,-9.144682138,4.836593065,-10.18531485,7.232751686,10.00530399
70,2991,20151231,2015,CVX,166764100,CHEVRON CORP,266103,4587,122566,93410,-36.26578197,0.028944539,-76.16028273,1.723768616,3.742473443
71,2991,20161231,2016,CVX,166764100,CHEVRON CORP,260078,-497,103310,93410,-15.71071912,-2.26416087,-110.8349684,-0.191096517,-0.481076372
72,2991,20171231,2017,CVX,166764100,CHEVRON CORP,253806,9195,127485,93410,23.40044526,-2.411584217,-1950.100604,3.622845796,7.212613249
73,2991,20181231,2018,CVX,166764100,CHEVRON CORP,253863,14824,158902,93410,24.64368357,0.022458098,61.21805329,5.839370054,9.329020403
74,2991,20191231,2019,CVX,166764100,CHEVRON CORP,237428,2924,139865,93410,-11.98034008,-6.473964304,-80.27522936,1.231531243,2.090587352
122,4029,20051231,2005,D,25746U109,DOMINION ENERGY INC,52660,1049,18041,715957,0,0,0,1.992024307,5.814533562
123,4029,20061231,2006,D,25746U109,DOMINION ENERGY INC,49269,1396,16482,715957,-8.641427859,-6.439422712,33.07912297,2.833424669,8.469845892
124,4029,20071231,2007,D,25746U109,DOMINION ENERGY INC,39123,2555,15674,715957,-4.90231768,-20.59307069,83.02292264,6.530685275,16.30088044
125,4029,20081231,2008,D,25746U109,DOMINION ENERGY INC,42053,1851,16290,715957,3.930075284,7.489200726,-27.55381605,4.401588472,11.36279926
126,4029,20091231,2009,D,25746U109,DOMINION ENERGY INC,42554,1287,15131,715957,-7.114794352,1.191353768,-30.47001621,3.024392537,8.50571674
127,4029,20101231,2010,D,25746U109,DOMINION ENERGY INC,42817,2808,15197,715957,0.436190602,0.618038257,118.1818182,6.558142794,18.47733105
