,Year,Ticker,Environmental Disclosure Score,GHG Scope 1,Total Energy Consumption,Change_in_EDS,Change_in_GHG,Change_in_TEC
490,2015,MRO,39.7,3580.0,16493.4,0.0,1.7045454545454586,-0.177935943060481
491,2016,MRO,39.7,3070.0,13494.6,0.0,-14.245810055865926,-18.181818181818187
492,2017,MRO,41.3,3680.0,12847.8,4.030226700251882,19.86970684039089,-4.793028322440096
493,2018,MRO,43.0,5200.0,13188.8,4.1162227602905554,41.30434782608696,2.6541509052133483
494,2019,MRO,47.1,6470.0,10636.9,9.534883720930232,24.423076923076927,-19.348993085041855
495,2005,NEE,,,,0.0,0.0,0.0
496,2006,NEE,24.1,,,0.0,0.0,0.0
497,2007,NEE,29.7,,,23.23651452282156,0.0,0.0
498,2008,NEE,33.8,,,13.804713804713797,0.0,0.0
499,2009,NEE,53.1,,,57.10059171597634,0.0,0.0
500,2010,NEE,29.7,,,-44.067796610169495,0.0,0.0
501,2011,NEE,21.4,,,-27.94612794612795,0.0,0.0
502,2012,NEE,49.0,47470.5,253049.0,128.97196261682245,0.0,0.0
503,2013,NEE,47.6,44852.5,290207.0,-2.857142857142858,-5.515004055150041,14.684112563179452
504,2014,NEE,42.8,45057.1,207603.0,-10.084033613445387,0.4561618638871723,-28.46382065215518
505,2015,NEE,40.0,49457.1,255762.0,-6.542056074766345,9.765386587241531,23.19764165257727
506,2016,NEE,40.0,41889.7,390887.0,0.0,-15.300937580246321,52.8323206731258
507,2017,NEE,40.0,39026.5,,0.0,-6.835093113581614,0.0
508,2018,NEE,37.9,38200.8,,-5.249999999999999,-2.1157418677052675,0.0
509,2019,NEE,38.6,45330.1,,1.8469656992084582,18.662698163389237,0.0
510,2005,NI,,,,0.0,0.0,0.0
511,2006,NI,11.0,25570.1,,0.0,0.0,0.0
512,2007,NI,13.1,26747.9,,19.090909090909093,4.6061611022248705,0.0
513,2008,NI,19.3,26441.5,,47.32824427480917,-1.1455104886738843,0.0
514,2009,NI,33.1,21800.0,44990.6,71.50259067357514,-17.55384528109222,0.0
515,2010,NI,18.6,,,-43.80664652567976,0.0,0.0
516,2011,NI,28.3,21918.8,,52.1505376344086,0.0,0.0
517,2012,NI,28.3,20674.8,,0.0,-5.675493183933423,0.0
518,2013,NI,30.3,19146.2,,7.067137809187285,-7.393541896414957,0.0
519,2014,NI,30.3,19503.9,,0.0,1.8682558418902984,0.0
520,2015,NI,36.6,12299.4,,20.79207920792079,-36.93876609293526,0.0
521,2016,NI,42.8,12420.3,,16.93989071038251,0.9829747792575283,0.0
522,2017,NI,49.0,12044.7,34400.8,14.485981308411233,-3.024081543924051,0.0
523,2018,NI,49.0,12580.8,37053.3,0.0,4.450920321801277,7.710576498220978
524,2019,NI,47.6,10202.1,30915.9,-2.857142857142858,-18.907382678367025,-16.56370687631061
525,2005,NOV,,,,0.0,0.0,0.0
526,2006,NOV,,,,0.0,0.0,0.0
527,2007,NOV,3.9,,,0.0,0.0,0.0
528,2008,NOV,3.9,,,0.0,0.0,0.0
529,2009,NOV,5.4,,,38.46153846153848,0.0,0.0
530,2010,NOV,17.1,,,216.66666666666666,0.0,0.0
531,2011,NOV,17.1,,,0.0,0.0,0.0
532,2012,NOV,14.7,,,-14.035087719298255,0.0,0.0
533,2013,NOV,10.9,,,-25.850340136054417,0.0,0.0
534,2014,NOV,10.9,,,0.0,0.0,0.0
535,2015,NOV,12.4,,,13.761467889908264,0.0,0.0
536,2016,NOV,12.4,,,0.0,0.0,0.0
537,2017,NOV,12.4,,,0.0,0.0,0.0
538,2018,NOV,21.7,1010.0,1990.0,75.0,0.0,0.0
539,2019,NOV,,,,0.0,0.0,0.0
540,2005,NRG,,,,0.0,0.0,0.0
541,2006,NRG,,,,0.0,0.0,0.0
