fyear,Ticker,CompanyName,conml
2012,PEG,PUBLIC SERVICE ENTRP GRP INC,Public Service Enterprise Group Inc
2013,PEG,PUBLIC SERVICE ENTRP GRP INC,Public Service Enterprise Group Inc
2014,PEG,PUBLIC SERVICE ENTRP GRP INC,Public Service Enterprise Group Inc
2015,PEG,PUBLIC SERVICE ENTRP GRP INC,Public Service Enterprise Group Inc
2016,PEG,PUBLIC SERVICE ENTRP GRP INC,Public Service Enterprise Group Inc
2017,PEG,PUBLIC SERVICE ENTRP GRP INC,Public Service Enterprise Group Inc
2018,PEG,PUBLIC SERVICE ENTRP GRP INC,Public Service Enterprise Group Inc
2019,PEG,PUBLIC SERVICE ENTRP GRP INC,Public Service Enterprise Group Inc
2010,SLB,SCHLUMBERGER LTD,Schlumberger Ltd
2011,SLB,SCHLUMBERGER LTD,Schlumberger Ltd
2012,SLB,SCHLUMBERGER LTD,Schlumberger Ltd
2013,SLB,SCHLUMBERGER LTD,Schlumberger Ltd
2014,SLB,SCHLUMBERGER LTD,Schlumberger Ltd
2015,SLB,SCHLUMBERGER LTD,Schlumberger Ltd
2016,SLB,SCHLUMBERGER LTD,Schlumberger Ltd
2017,SLB,SCHLUMBERGER LTD,Schlumberger Ltd
2018,SLB,SCHLUMBERGER LTD,Schlumberger Ltd
2019,SLB,SCHLUMBERGER LTD,Schlumberger Ltd
2010,EIX,EDISON INTERNATIONAL,Edison International
2011,EIX,EDISON INTERNATIONAL,Edison International
2012,EIX,EDISON INTERNATIONAL,Edison International
2013,EIX,EDISON INTERNATIONAL,Edison International
2014,EIX,EDISON INTERNATIONAL,Edison International
2015,EIX,EDISON INTERNATIONAL,Edison International
2016,EIX,EDISON INTERNATIONAL,Edison International
2017,EIX,EDISON INTERNATIONAL,Edison International
2018,EIX,EDISON INTERNATIONAL,Edison International
2019,EIX,EDISON INTERNATIONAL,Edison International
2010,SO,SOUTHERN CO,Southern Co (The)
2011,SO,SOUTHERN CO,Southern Co (The)
2012,SO,SOUTHERN CO,Southern Co (The)
2013,SO,SOUTHERN CO,Southern Co (The)
2014,SO,SOUTHERN CO,Southern Co (The)
2015,SO,SOUTHERN CO,Southern Co (The)
2016,SO,SOUTHERN CO,Southern Co (The)
2017,SO,SOUTHERN CO,Southern Co (The)
2018,SO,SOUTHERN CO,Southern Co (The)
2019,SO,SOUTHERN CO,Southern Co (The)
2010,AEE,AMEREN CORP,Ameren Corp
2011,AEE,AMEREN CORP,Ameren Corp
2012,AEE,AMEREN CORP,Ameren Corp
2013,AEE,AMEREN CORP,Ameren Corp
2014,AEE,AMEREN CORP,Ameren Corp
2015,AEE,AMEREN CORP,Ameren Corp
2016,AEE,AMEREN CORP,Ameren Corp
2017,AEE,AMEREN CORP,Ameren Corp
2018,AEE,AMEREN CORP,Ameren Corp
2019,AEE,AMEREN CORP,Ameren Corp
2010,WMB,WILLIAMS COS INC,Williams Cos Inc. (The)
2011,WMB,WILLIAMS COS INC,Williams Cos Inc. (The)
2012,WMB,WILLIAMS COS INC,Williams Cos Inc. (The)
2013,WMB,WILLIAMS COS INC,Williams Cos Inc. (The)
2014,WMB,WILLIAMS COS INC,Williams Cos Inc. (The)
2015,WMB,WILLIAMS COS INC,Williams Cos Inc. (The)
2016,WMB,WILLIAMS COS INC,Williams Cos Inc. (The)
2017,WMB,WILLIAMS COS INC,Williams Cos Inc. (The)
2018,WMB,WILLIAMS COS INC,Williams Cos Inc. (The)
2019,WMB,WILLIAMS COS INC,Williams Cos Inc. (The)
2010,WEC,WEC ENERGY GROUP INC,WEC Energy Group Inc
2011,WEC,WEC ENERGY GROUP INC,WEC Energy Group Inc
2012,WEC,WEC ENERGY GROUP INC,WEC Energy Group Inc
2013,WEC,WEC ENERGY GROUP INC,WEC Energy Group Inc
2014,WEC,WEC ENERGY GROUP INC,WEC Energy Group Inc
2015,WEC,WEC ENERGY GROUP INC,WEC Energy Group Inc
2016,WEC,WEC ENERGY GROUP INC,WEC Energy Group Inc
2017,WEC,WEC ENERGY GROUP INC,WEC Energy Group Inc
2018,WEC,WEC ENERGY GROUP INC,WEC Energy Group Inc
2019,WEC,WEC ENERGY GROUP INC,WEC Energy Group Inc
2010,LNT,ALLIANT ENERGY CORP,Alliant Energy Corp
2011,LNT,ALLIANT ENERGY CORP,Alliant Energy Corp
2012,LNT,ALLIANT ENERGY CORP,Alliant Energy Corp
2013,LNT,ALLIANT ENERGY CORP,Alliant Energy Corp
2014,LNT,ALLIANT ENERGY CORP,Alliant Energy Corp
2015,LNT,ALLIANT ENERGY CORP,Alliant Energy Corp
2016,LNT,ALLIANT ENERGY CORP,Alliant Energy Corp
2017,LNT,ALLIANT ENERGY CORP,Alliant Energy Corp
