ISIN,CompanyName,Country
AU000000BOQ8,BANK OF QUEENSLAND LIMITED,Australia
AT0000BAWAG2,BAWAG Group AG,Austria
GB0003062816,Town Centre Securities PLC,United Kingdom
KR7008560005,MERITZ SECURITIES COMPANY LIMITED,South Korea
MX00CR000000,CREDITO REAL SAB DE CV SOFOM ER,Mexico
GB0002148343,RATHBONE BROTHERS PLC,United Kingdom
AU000000ANZ3,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,Australia
GB00B1Z4ST84,PROVIDENT FINANCIAL PLC,United Kingdom
CNE100000HK9,"China Merchants Securities Co., Ltd.",China
ZAE000011953,NETCARE LIMITED,South Africa
DE0007042301,RHOEN KLINIKUM AG,Germany
FR0000184798,ORPEA SA,France
AU000000RHC8,RAMSAY HEALTH CARE LIMITED,Australia
GB00BNLPYF73,SPIRE HEALTHCARE GROUP PLC,United Kingdom
SE0007666110,ATTENDO AB (PUBL),Sweden
ZAE000269890,Momentum Metropolitan Holdings Limited,South Africa
ZAE000022331,DISCOVERY LTD,South Africa
JP3752900005,"Japan Post Holdings Co., Ltd.",Japan
ZAE000070660,SANLAM LIMITED,South Africa
HK0000055878,CHINA TAIPING INSURANCE HOLDINGS COMPANY LIMITED,Hong Kong
GB00B00FPT80,CHESNARA PLC,United Kingdom
BMG5361W1047,LANCASHIRE HOLDINGS LTD,United Kingdom
TW0002002003,CHINA STEEL CORPORATION,Taiwan
KR7005490008,POSCO,South Korea
KR7004020004,HYUNDAI STEEL CO,South Korea
CLP9796J1008,CONCHA Y TORO WINERY INC,Chile
AU000000TWE9,TREASURY WINE ESTATES LTD,Australia
HK0291001490,CHINA RESOURCES BEER HOLDINGS CO LTD,Hong Kong
NL0015435975,Davide Campari-Milano N.V.,Italy
KYG1674K1013,Budweiser Brewing Company APAC Limited,Hong Kong
CLP3697U1089,EMBOTELLADORA ANDINA SA,Chile
CLP249051044,COMPANIA CERVECERIAS UNIDAS SA,Chile
MX01AC100006,ARCA CONTINENTAL SAB DE CV,Mexico
AU000000CCL2,COCA-COLA AMATIL LIMITED,Australia
KR7005300009,"LOTTE CHILSUNG BEVERAGE CO., LTD.",South Korea
MXP320321310,FOMENTO ECONOMICO MEXICANO S.A.B. DE C.V.,Mexico
BRABEVACNOR1,AMBEV S.A,Brazil
US49271V1008,KEURIG DR PEPPER INC,United States
JP3258000003,KIRIN HOLDINGS COMPANY LIMITED.,Japan
JP3116000005,ASAHI GROUP HOLDINGS LIMITED,Japan
JP3459600007,TAKARA HOLDING INCORPORATED,Japan
GB00B0N8QD54,BRITVIC PLC,United Kingdom
CH0198251305,COCA COLA HBC AG,Switzerland
GB00BDCPN049,COCA-COLA EUROPEAN PARTNERS PLC,United Kingdom
KYG9829N1025,XINYI SOLAR HOLDINGS LTD,China
JP3733400000,NIPPON ELECTRIC GLASS CO LTD,Japan
TW0005347009,VANGUARD INTERNATIONAL SEMICONDUCTOR CORPORATION,Taiwan
TW0003623005,Transtouch Technology Inc.,Taiwan
TW0003049003,SINTEK PHOTRONIC CORPORATION,Taiwan
US6821891057,ON SEMICONDUCTOR CORPORATION,United States
TW0002368008,GOLD CIRCUIT ELECTRONICS LTD,Taiwan
TW0003532008,FORMOSA SUMCO TECHNOLOGY CORPORATION,Taiwan
TW0002303005,UNITED MICRO ELECTRONICS CORPORATION,Taiwan
TW0008110008,WALTON ADVANCED ENGINEERING INC,Taiwan
KR7000990002,DB HITEK CO LTD,South Korea
TW0008131004,"FORMOSA ADVANCED TECHNOLOGIES CO., LTD.",Taiwan
TW0003044004,TRIPOD TECHNOLOGY CORP,Taiwan
TW0003481008,INNOLUX CORP,Taiwan
KYG5257K1076,KINGBOARD LAMINATES HOLDINGS LTD,Hong Kong
TW0002313004,COMPEQ MANUFACTURING COMPANY LIMITED,Taiwan
KR7034220004,LG DISPLAY COMPANY LIMITED,South Korea
TW0002337003,MACRONIX INTERNATIONAL COMPANY LIMITED,Taiwan
TW0008150004,CHIPMOS TECHNOLOGIES INC,Taiwan
TW0002409000,AU OPTRONICS CORPORATION,Taiwan
TW0002449006,KING YUAN ELECTRONICS COMPANY LIMITED,Taiwan
TW0003037008,UNIMICRON TECHNOLOGY CORP,Taiwan
